name_a,name_b,n,mean_a,mean_b,mean_diff,wilcoxon_p,permutation_p,cliffs_delta,rank_biserial,effect_label,wilcoxon_p_corr,permutation_p_corr,significant,protocol,metric,metric_label,higher_is_better
MultiAgentRL_ddqn,MultiAgentRL_mlp_ppo,5,0.23465560000000002,0.2507888,-0.016133199999999993,0.625,0.5625,-0.12,-0.3333333333333333,negligible,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
MultiAgentRL_ddqn,Threshold10_C128,5,0.23465560000000002,0.0,0.23465560000000002,0.0625,0.0625,1.0,1.0,large,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
MultiAgentRL_ddqn,Threshold10_C64,5,0.23465560000000002,0.0,0.23465560000000002,0.0625,0.0625,1.0,1.0,large,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
MultiAgentRL_ddqn,WorkloadAwareThreshold,5,0.23465560000000002,0.2984428,-0.06378719999999999,0.125,0.125,-0.68,-0.8666666666666667,large,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
MultiAgentRL_mlp_ppo,Threshold10_C128,5,0.2507888,0.0,0.2507888,0.0625,0.0625,1.0,1.0,large,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
MultiAgentRL_mlp_ppo,Threshold10_C64,5,0.2507888,0.0,0.2507888,0.0625,0.0625,1.0,1.0,large,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
MultiAgentRL_mlp_ppo,WorkloadAwareThreshold,5,0.2507888,0.2984428,-0.04765399999999999,0.125,0.125,-0.6,-0.8666666666666667,large,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
Threshold10_C128,Threshold10_C64,5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,negligible,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
Threshold10_C128,WorkloadAwareThreshold,5,0.0,0.2984428,-0.2984428,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
Threshold10_C64,WorkloadAwareThreshold,5,0.0,0.2984428,-0.2984428,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_partition_pruning_ratio,Pruning ratio,True
AlwaysCompact_C128,CompactOnlyRL_attentive_ppoclip,25,0.190264,0.12021200000000003,0.070052,5.960464477539063e-08,4.999750012499375e-05,1.0,1.0,large,2.1457672119140625e-06,0.001799910004499775,True,eval500,avg_global_reward,Global reward,True
AlwaysCompact_C128,MultiAgentRL_attentive_ppoclip,25,0.190264,0.18230800000000003,0.007956000000000001,0.4418373703956604,0.30748462576871155,-0.2,0.18153846153846154,small,0.8255528211593628,0.7099145042747862,False,eval500,avg_global_reward,Global reward,True
AlwaysCompact_C128,MultiAgentRL_ddqn,25,0.190264,0.21049199999999998,-0.020228000000000003,1.9669532775878906e-06,4.999750012499375e-05,-0.84,-0.9446153846153846,large,4.13060188293457e-05,0.001799910004499775,True,eval500,avg_global_reward,Global reward,True
AlwaysCompact_C128,MultiAgentRL_mlp_ppo,25,0.190264,0.16752399999999998,0.02274,0.00021690130233764648,0.00044997750112494374,0.6,0.7907692307692308,large,0.0019521117210388184,0.0031998400079996,True,eval500,avg_global_reward,Global reward,True
AlwaysCompact_C128,PartitionOnlyRL_attentive_ppoclip,15,0.19037333333333337,-0.10989333333333336,0.3002666666666667,6.103515625e-05,6.103515625e-05,1.0,1.0,large,0.00103759765625,0.001799910004499775,True,eval500,avg_global_reward,Global reward,True
AlwaysCompact_C128,Threshold10_C128,25,0.190264,0.17096,0.019303999999999998,5.960464477539063e-08,4.999750012499375e-05,1.0,1.0,large,2.1457672119140625e-06,0.001799910004499775,True,eval500,avg_global_reward,Global reward,True
AlwaysCompact_C128,Threshold10_C64,25,0.190264,0.127308,0.062956,5.960464477539063e-08,4.999750012499375e-05,1.0,1.0,large,2.1457672119140625e-06,0.001799910004499775,True,eval500,avg_global_reward,Global reward,True
AlwaysCompact_C128,WorkloadAwareThreshold,25,0.190264,0.19432000000000002,-0.004055999999999996,0.0009118914604187012,0.00039998000099995,-0.4336,-0.7261538461538461,medium,0.006383240222930908,0.0031998400079996,True,eval500,avg_global_reward,Global reward,True
CompactOnlyRL_attentive_ppoclip,MultiAgentRL_attentive_ppoclip,25,0.12021200000000003,0.18230800000000003,-0.06209600000000001,5.960464477539063e-08,4.999750012499375e-05,-0.7648,-1.0,large,2.1457672119140625e-06,0.001799910004499775,True,eval500,avg_global_reward,Global reward,True
CompactOnlyRL_attentive_ppoclip,MultiAgentRL_ddqn,25,0.12021200000000003,0.21049199999999998,-0.09027999999999999,5.960464477539063e-08,4.999750012499375e-05,-1.0,-1.0,large,2.1457672119140625e-06,0.001799910004499775,True,eval500,avg_global_reward,Global reward,True
CompactOnlyRL_attentive_ppoclip,MultiAgentRL_mlp_ppo,25,0.12021200000000003,0.16752399999999998,-0.04731199999999999,1.1324882507324219e-06,4.999750012499375e-05,-0.7504,-0.9569230769230769,large,2.491474151611328e-05,0.001799910004499775,True,eval500,avg_global_reward,Global reward,True
CompactOnlyRL_attentive_ppoclip,PartitionOnlyRL_attentive_ppoclip,15,0.11947999999999999,-0.10989333333333336,0.2293733333333333,6.103515625e-05,6.103515625e-05,1.0,1.0,large,0.00103759765625,0.001799910004499775,True,eval500,avg_global_reward,Global reward,True
